SPAC1399.03	fur4	
SPAC1399.04c	uck2	
SPAC1399.05c	toe1	
SPAC1399.06		
SPAC13A11.01c	rga8	SPAC2F7.18c
SPAC13A11.02c	erg11	
SPAC13A11.03	mcp7	mug32,mnd1
SPAC13A11.04c	ubp8	
SPAC13A11.05	ysp2	yspII,ppp18
SPAC13A11.06	pdc202	SPAC3H8.01
SPAC13C5.01c	pre9	SPAC31A2.17c
SPAC13C5.02	dre4	
SPAC13C5.03	tht1	
SPAC13C5.04		
SPAC13C5.05c		
SPAC13C5.06c	mug121	
SPAC13C5.07	mre11	rad32
SPAC13D1.01c	Tf2-7	
SPAC13D6.01	pof14	
SPAC13D6.02c	byr3	
SPAC13D6.03c	trm9	
SPAC13D6.04c	btb3	
SPAC13D6.05	alp11	SPAC4G9.01
SPAC13F5.01c	msh1	SPAC23C11.18c
SPAC13F5.02c	taf7	ptr6
SPAC13F5.03c	gld1	
SPAC13F5.04c	vta1	vts1,new6,SPAC13F5.08
SPAC13F5.05	mpd1	
SPAC13F5.06c	sec10	
SPAC13F5.07c	hpz2	
SPAC13G6.01c	rad8	SPAC5H10.14c
SPAC13G6.02c	rps101	rps1-1,rps3a-1
SPAC13G6.03	gpi7	
SPAC13G6.04	tim8	
SPAC13G6.05c	trs33	
SPAC13G6.06c	gcv2	
SPAC13G6.07c	rps601	rps6-1,p27,rps6
SPAC13G6.08	fzr2	
SPAC13G6.09	trs402	tsr4
SPAC13G6.10c	asl1	
SPAC13G6.11c	erg12	
SPAC13G6.12c	chs1	SPAC24B11.01c
SPAC13G6.13		SPAC24B11.02
SPAC13G6.14	aps1	SPAC24B11.03,stw1
SPAC13G6.15c	rcn1	SPAC24B11.04c
SPAC13G7.01c	erg7	SPAC4G9.21c
SPAC13G7.02c	ssa1	hsp70
SPAC13G7.03	upf3	
SPAC13G7.04c	mac1	
SPAC13G7.05	are1	
SPAC13G7.06	met16	
SPAC13G7.07	arb2	
SPAC13G7.08c	crb3	ipi3
SPAC13G7.09c		
SPAC13G7.10	teb1	mug152,tay1,spX
SPAC13G7.11	mba1	
SPAC13G7.12c	eki1	
SPAC13G7.13c	msa1	SPAC6C3.01c
SPAC140.01	sdh2	
SPAC140.02	gar2	
SPAC140.03	arb1	csp12
SPAC140.04	ctr1	
SPAC1420.01c		SPAC56E4.08c
SPAC1420.02c	cct5	
SPAC1420.03	rpn501	rpn5-a,rpn5
SPAC1420.04c	cox1101	cox11,SPAPB17E12.01c
SPAC144.01		
SPAC144.02	iec1	
SPAC144.03	ade2	min10,min3
SPAC144.04c	spe1	
SPAC144.05		
SPAC144.06	apl5	
SPAC144.07c	gpn2	
SPAC144.08	jac1	
SPAC144.09c	sfc2	
SPAC144.10c	gwt1	mug59
SPAC144.11	rps1102	rps11-2,rps11
SPAC144.12	rki1	
SPAC144.13c	srw1	ste9
SPAC144.14	klp8	
SPAC144.15c	cog1	
SPAC144.16	cia2	
SPAC144.17c		
SPAC144.18	vrg4	
SPAC144.19	prl46	SPNCRNA.46,ORF18274
SPAC1486.01	sod2	
SPAC1486.02c	dsc2	ucp14
SPAC1486.03c	ntr1	
SPAC1486.04c	alm1	
SPAC1486.05	nup189	nup98,nup96,nup189N,nup189C
SPAC1486.06	npt1	
SPAC1486.07c	mrpl19	mrp19
SPAC1486.08	cox16	
SPAC1486.09	nob1	
SPAC1486.10	thi1	ntf1,SPAC6G10.01
SPAC1486.11	fmc1	new3
SPAC14C4.01c	atg43	SPAC19D5.08c
SPAC14C4.02c	smc5	spr18
SPAC14C4.03	mek1	
SPAC14C4.04		
SPAC14C4.05c	man1	heh2,mug61
SPAC14C4.06c	nab2	
SPAC14C4.07		
SPAC14C4.08	mug5	
SPAC14C4.09	agn1	
SPAC14C4.10c		
SPAC14C4.11	vtc2	vtc3
SPAC14C4.12c	laf1	
SPAC14C4.13	rad17	
SPAC14C4.14	atp1	
SPAC14C4.15c	dpp1	SPAPJ760.01c,ppp21
SPAC14C4.16	dad3	
SPAC1527.01	mok11	SPAC23D3.15
SPAC1527.02	sft2	
SPAC1527.03	slr1	
SPAC1556.01c	rad50	SPAP4C9.01c
SPAC1556.02c	sdh1	
SPAC1556.03	azr1	
SPAC1556.04c	cdd1	pcd1
SPAC1556.05c	cgr1	
SPAC1556.06	meu1	meu1-1,SPAC1556.06a,meu1-2,SPAC1556.06b,SPAC1556.06.1
SPAC1556.07	pmm1	
SPAC1556.08c	cbs2	SPAC1F12.01c
SPAC1565.01	rcf2	
SPAC1565.02c	rga10	
SPAC1565.03		
SPAC1565.04c	ste4	
SPAC1565.05	utp8	
SPAC1565.06c	spg1	sid3
SPAC1565.07c	knd1	
SPAC1565.08	cdc48	SPAC6F12.01,dsc6
SPAC15A10.01	atm1	SPAC8C9.18
SPAC15A10.02	taf12	
SPAC15A10.03c	rad54	rhp54
SPAC15A10.04c	zpr1	
SPAC15A10.05c	mug182	
SPAC15A10.06		
SPAC15A10.07		
SPAC15A10.08	ain1	
SPAC15A10.09c	pun1	sur7
SPAC15A10.10	mde6	
SPAC15A10.11	ubr11	
SPAC15A10.12c	tca17	
SPAC15A10.13	ppk3	
SPAC15A10.15	sgo2	
SPAC15A10.16	bud6	aip3,fat1,SPAC15E1.01
SPAC15A10.17	coa2	new5
SPAC15E1.02c		
SPAC15E1.03	rpl42	rpl36a
SPAC15E1.04	hal3	
SPAC15E1.05c	ect1	
SPAC15E1.06	vps29	
SPAC15E1.07c	moa1	mug159
SPAC15E1.08	naa10	ard1
SPAC15E1.09	grx2	
SPAC15E1.10	fub1	SPAP7G5.01
SPAC15F9.01c	glm1	
SPAC15F9.02	seh1	
SPAC15F9.03c	nxt2	ntf2,nft2,SPAC1B9.01c
SPAC16.01	rho2	
SPAC16.02c	srp2	
SPAC16.03c	ura2	
SPAC16.04	dus3	
SPAC16.05c	sfp1	
SPAC1610.01	saf5	SPAC17A5.17,icln,lot5
SPAC1610.02c	mrpl1	
SPAC1610.03c	crp79	meu5
SPAC1610.04	mug99	
SPAC1635.01	por1	
SPAC1639.01c	elo1	SPAC806.09c,elo2
SPAC1639.02c	trk2	SPAC1F5.12
SPAC167.01	ire1	ppk4
SPAC167.02	ptb1	
SPAC167.03c	snu66	
SPAC167.04	pam17	
SPAC167.05	dbs2	SPAC57A7.01
SPAC167.06c	mug143	SPAC57A7.02c
SPAC167.07c	hul5	SPAC57A7.03c
SPAC167.08	Tf2-2	SPAC1705.01c
SPAC167.09	pga1	
SPAC1687.01	rpc19	rpa17,SPAPYUL23.01
SPAC1687.02	rce1	ppp10
SPAC1687.03c	rfc4	
SPAC1687.04	mcb1	
SPAC1687.05	pli1	
SPAC1687.06c	rpl44	rpl28
SPAC1687.07		
SPAC1687.08		
SPAC1687.09	irs4	tax4
SPAC1687.10	mcp1	
SPAC1687.11	spb1	
SPAC1687.12c	coq4	
SPAC1687.13c	csn5	
SPAC1687.14c		
SPAC1687.15	gsk3	skp1
SPAC1687.16c	erg31	erg3
SPAC1687.17c		
SPAC1687.18c	ssl3	
SPAC1687.19c	qtr1	qtrt1
SPAC1687.20c	mis6	
SPAC1687.21		SPAC222.01
SPAC1687.22c	puf3	SPAC222.02c
SPAC1687.23c		
SPAC16A10.01		
SPAC16A10.02	sub1	
SPAC16A10.03c		
SPAC16A10.04	rho4	
SPAC16A10.05c	dad1	
SPAC16A10.06c	nse2	
SPAC16A10.07c	taz1	myb1,myb,lot3
SPAC16A10.08c	mug74	SPAC589.01c
SPAC16C9.01c		SPAC4G8.14c
SPAC16C9.02c	mta1	
SPAC16C9.03	nmd3	
SPAC16C9.04c	mot2	not4
SPAC16C9.05	cph1	
SPAC16C9.06c	upf1	
SPAC16C9.07	pom2	ppk5,SPAC2G11.01,mug189
SPAC16E8.01	shd1	sla1
SPAC16E8.02	mpo1	
SPAC16E8.03	gna1	spgna1
SPAC16E8.04c	aro7	
SPAC16E8.05c		mde1
SPAC16E8.06c	nop12	
SPAC16E8.07c	vph1	
SPAC16E8.08	pos1	
SPAC16E8.09	scd1	ral1
SPAC16E8.10c	rsm7	
SPAC16E8.11c	tfb1	
SPAC16E8.12c	png3	
SPAC16E8.13		
SPAC16E8.14c	tae1	
SPAC16E8.15	tif45	tif1
SPAC16E8.16	sua7	
SPAC16E8.17c		
SPAC16E8.18		
SPAC16E8.18c	tam5	SPNG664,SPNGAF2
SPAC1705.02		
SPAC1705.03c	ecm33	SPAC23H4.19
SPAC1751.01c	gti1	
SPAC1751.02c	rsm19	
SPAC1751.03	tif313	SPAC31A2.01
SPAC1751.04	loc1	
SPAC1782.01	ecm29	SPAPYUG7.07
SPAC1782.02c		
SPAC1782.03	saf3	
SPAC1782.04	cox24	
SPAC1782.05	ypa2	pta2
SPAC1782.06c	phb1	
SPAC1782.07	qcr8	
SPAC1782.08c	rex3	
SPAC1782.09c	clp1	flp1
SPAC1782.10c	nhp2	
SPAC1782.11	met14	
SPAC1782.12c		
SPAC1783.01		
SPAC1783.02c	vps66	
SPAC1783.03	fta2	
SPAC1783.04c	hst4	
SPAC1783.05	hrp1	chd1
SPAC1783.06c	atg12	apg12
SPAC1783.07c	pap1	caf3
SPAC1783.08c	rpl1502	rpl15-2
SPAC1786.01c	ptl2	SPAC31G5.20c
SPAC1786.02	plb2	
SPAC1786.03	cut11	SPAC24C9.01
SPAC1786.04		
SPAC17A2.01	bsu1	sod1,car1,SPAC1B1.05
SPAC17A2.02c	tlc4	
SPAC17A2.03c	vma6	
SPAC17A2.04c	cns1	
